"","segment_id","month","weekday","hour","max_speed","coordinates","X","Y","street","place","province","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore","expectedfinescaled"
"21",24948,12,"Friday",15,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.76,0,13,19,103,18,6,10,35,32,4,2,0,212.8,0.1,3.58,0.0352045123167831,0.00136078202335327
"22",24948,12,"Friday",16,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.79,0,27,37,137,14,16,32,40,35,4,0,0,84.8,0.04,6.42,0.061871690583992,0.000542266520584386
"23",24948,12,"Friday",17,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.17,0,12,48,142,12,0,36,71,24,0,0,0,0,0,6.82,0.0653249942444939,0
"24",24948,12,"Monday",11,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.79,0,0,15,3,3,0,0,0,0,0,0,0,0,0,1.53,0.0145806154554524,0
"25",24948,12,"Monday",14,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.75,0,0,9,3,2,2,0,0,0,0,0,0,0,0,0.93,0.00882510935461592,0
"26",24948,12,"Saturday",9,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.04,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0.25,0.00230220244033459,0
"27",24948,12,"Saturday",10,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.53,0,8,8,87,4,0,19,38,25,2,0,0,42.4,0.02,2.07,0.0199524211495664,0.000271133260292193
"28",24948,12,"Saturday",11,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.58,0,2,34,124,4,4,23,68,21,7,0,0,148.4,0.07,4.74,0.0460440488066918,0.000948966411022675
"29",24948,12,"Saturday",12,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.73,0,1,39,94,13,5,14,47,18,0,0,0,0,0,4.89,0.0468114496201366,0
"30",24948,12,"Saturday",13,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.77,0,0,24,79,7,6,16,36,14,2,0,2,346.4,0.2,3.19,0.0324226843680454,0.00221510757936829
