,bike,bike_lft,bike_rgt,car,car_lft,car_rgt,car_speed_bucket,car_speed_histogram,date,lorry,lorry_lft,lorry_rgt,pct_up,pedestrian,pedestrian_lft,pedestrian_rgt,segment_id,year,month,day,hour
139,41,22,19,737,337,400,"[0, 1, 2, 3, 4, 5, 6, 7]","[107, 91, 247, 223, 51, 10, 5, 7]",2020-02-16 14:00,73,61,12,0.73,5,4,1,349547,2020,2,16,14
140,50,22,28,788,375,413,"[0, 1, 2, 3, 4, 5, 6, 7]","[134, 137, 237, 233, 39, 3, 4, 6]",2020-02-16 15:00,72,46,26,0.76,16,12,4,349547,2020,2,16,15
141,41,12,29,716,356,360,"[0, 1, 2, 3, 4, 5, 6]","[66, 70, 271, 266, 41, 5, 2]",2020-02-16 16:00,72,56,16,0.75,22,13,9,349547,2020,2,16,16
142,38,21,17,741,343,398,"[0, 1, 2, 3, 4, 5, 7]","[74, 115, 274, 239, 37, 3, 2]",2020-02-16 17:00,66,45,21,0.77,18,14,4,349547,2020,2,16,17
143,44,19,25,758,316,442,"[0, 1, 2, 3, 4, 5, 7]","[100, 128, 327, 172, 24, 2, 8]",2020-02-16 18:00,73,39,34,0.64,14,5,9,349547,2020,2,16,18
144,175,50,125,450,75,375,"[1, 2, 3, 4]","[50, 225, 100, 75]",2020-02-17 08:00,150,75,75,0.04,25,0,25,349547,2020,2,17,8
145,157,25,132,465,130,335,"[0, 1, 2, 3, 4, 5, 6, 7]","[90, 137, 127, 95, 9, 2, 3, 6]",2020-02-17 09:00,124,59,65,0.69,13,4,9,349547,2020,2,17,9
146,65,22,43,531,152,379,"[0, 1, 2, 3, 4, 5, 7]","[90, 98, 163, 150, 25, 6, 2]",2020-02-17 10:00,142,72,70,0.77,15,8,7,349547,2020,2,17,10
147,86,22,64,384,149,235,"[0, 1, 2, 3, 4, 5, 6, 7]","[58, 54, 90, 94, 44, 18, 13, 16]",2020-02-17 11:00,41,22,19,0.64,5,2,3,349547,2020,2,17,11
148,75,29,46,609,289,320,"[0, 1, 2, 3, 4, 5, 6, 7]","[90, 51, 178, 200, 56, 20, 10, 8]",2020-02-17 12:00,85,49,36,0.41,5,0,5,349547,2020,2,17,12
149,75,32,43,573,239,334,"[0, 1, 2, 3, 4, 5, 6, 7]","[116, 98, 197, 123, 23, 5, 3, 10]",2020-02-17 13:00,118,61,57,0.72,11,4,7,349547,2020,2,17,13
150,83,20,63,595,217,378,"[0, 1, 2, 3, 4, 5, 6, 7]","[124, 91, 166, 154, 42, 10, 7, 7]",2020-02-17 14:00,92,54,38,0.65,11,6,5,349547,2020,2,17,14
151,66,17,49,546,258,288,"[0, 1, 2, 3, 4, 5, 6, 7]","[77, 62, 127, 169, 63, 27, 12, 13]",2020-02-17 15:00,64,38,26,0.72,15,7,8,349547,2020,2,17,15
